# Scaleheights of H2 using the hydrostatic equilibrium in the MW gravitational potential using the model by MACMILLAN+2017. The velocity dispersion is taken from Marasco+2017 for R<8.3 kpc, beyond this it is fixed to 4\pm3 km/s for H2. The errors include only the uncertainty on the velocity dispersion, not on the mass distribution. 
#  1) R kpc 
#  2) h_h2 kpc 
#  3) lowe err kpc 
#  4) upper err kpc
1.000000000000000000e+00 2.135711840412908569e-02 5.219905484723261040e-03 4.782040749451908074e-03
2.000000000000000000e+00 2.655692361074707408e-02 2.059706375039820504e-03 2.082821415404307631e-03
3.000000000000000000e+00 3.057760027378623319e-02 3.261176549964303010e-03 3.348077406642010079e-03
4.000000000000000000e+00 3.397011314748997479e-02 3.599893052848884833e-03 3.679768521206656755e-03
5.000000000000000000e+00 3.730853273843366680e-02 3.927656370372275239e-03 3.726526482227944612e-03
6.000000000000000000e+00 4.116573201437213197e-02 4.148295505395217624e-03 4.144166804931238325e-03
7.000000000000000000e+00 4.608908311308711897e-02 5.614141621322805281e-03 5.653878316694533647e-03
8.000000000000000000e+00 5.257615405123478025e-02 1.043837100000000000e-02 1.043837100000000000e-02
9.000000000000000000e+00 6.105040543319318475e-02 1.526260135829829619e-02 1.526260135829829619e-02
1.000000000000000000e+01 7.183688715990976803e-02 1.795922178997744201e-02 1.795922178997744201e-02
1.100000000000000000e+01 8.513793513774885191e-02 2.128448378443721298e-02 2.128448378443721298e-02
1.200000000000000000e+01 1.010088679873391293e-01 2.525221699683478233e-02 2.525221699683478233e-02
1.300000000000000000e+01 1.193336837524211352e-01 2.983342093810528381e-02 2.983342093810528381e-02
1.400000000000000000e+01 1.398007566086947595e-01 3.495018915217368988e-02 3.495018915217368988e-02
1.500000000000000000e+01 1.618785335726666552e-01 4.046963339316666380e-02 4.046963339316666380e-02
