# Scaleheights of HI using the hydrostatic equilibrium in the MW gravitational potential using the model by MACMILLAN+2017. The velocity dispersion is taken from Marasco+2017 for R<8.3 kpc, beyond this it is fixed to 8\pm4 km/s for HI. The errors include only the uncertainty on the velocity dispersion, not on the mass distribution. 
#  1) R kpc 
#  2) h_hi kpc 
#  3) lowe err kpc 
#  4) upper err kpc
1.000000000000000000e+00 4.416286834149016349e-02 7.292603853520237926e-03 6.898120057374669024e-03
2.000000000000000000e+00 5.314812561604054242e-02 8.291904621610472412e-03 8.006065658787357708e-03
3.000000000000000000e+00 6.150953009532598298e-02 4.405355236564491642e-03 4.553527524878375927e-03
4.000000000000000000e+00 6.976240900730348860e-02 5.722093090413445972e-03 5.671665335636353125e-03
5.000000000000000000e+00 7.854217402986662933e-02 4.801137580044133844e-03 4.682276058258192514e-03
6.000000000000000000e+00 8.855863454063733764e-02 7.535135885345548706e-03 7.192760784040398009e-03
7.000000000000000000e+00 1.005503108667574058e-01 8.664384431371727202e-03 8.498087664731070190e-03
8.000000000000000000e+00 1.152387475346802331e-01 2.699994185221477397e-02 2.650699041608104919e-02
9.000000000000000000e+00 1.332828265199624829e-01 3.332070662999062072e-02 3.332070662999062072e-02
1.000000000000000000e+01 1.552330804970557532e-01 3.880827012426393829e-02 3.880827012426393829e-02
1.100000000000000000e+01 1.814860060890982063e-01 4.537150152227455158e-02 4.537150152227455158e-02
1.200000000000000000e+01 2.122383771177062395e-01 5.305959427942655987e-02 5.305959427942655987e-02
1.300000000000000000e+01 2.474415578527661697e-01 6.186038946319154241e-02 6.186038946319154241e-02
1.400000000000000000e+01 2.867558162622257933e-01 7.168895406555644834e-02 7.168895406555644834e-02
1.500000000000000000e+01 3.295046372618862796e-01 8.237615931547156989e-02 8.237615931547156989e-02
