 r n_hi
0 -0.001 0.6344345357142858
1 0.0729 0.6344345357142858
2 0.1945 0.6344345357142858
3 0.5105 0.6344345357142858
4 0.59 0.6344345357142858
5 0.6078 0.007142857142857143
6 1.5802 0.007142857142857143
7 1.7 0.007142857142857143
8 1.7747 0.007753814285714286
9 1.9935 0.0088904
10 2.188 0.010620600000000001
11 2.4068 0.012345128571428571
12 2.6013 0.014547314285714288
13 2.7958 0.017142335714285712
14 2.9903 0.019655128571428572
15 3.5008 0.02480082142857143
16 3.987 0.02882787142857143
17 4.4976 0.031724642857142854
18 5.0081 0.031724642857142854
19 5.4943 0.030035464285714283
20 6.0049 0.026556385714285712
21 6.4911 0.02163017857142857
22 7.0016 0.016679721428571426
23 7.4878 0.014154735714285714
24 7.9984 0.011848785714285714
25 8.5089 0.009918507142857143
26 8.9951 0.008417035714285714
27 9.5057 0.007045814285714286
28 9.9919 0.005897985714285714
29 10.9887 0.004189757142857143
30 13.0065 0.0020855428571428573
31 14.0032 0.001481507142857143
32 15.0 0.0010524214285714286
33 15.9968 0.0007374500000000001
34 16.9935 0.0005238642857142858
35 17.9903 0.0003670785714285714
36 18.1361 0.0003475357142857143
37 19.1 0.00014285714285714287
